0 (0, 6, 11, 7, 3, 2, 10, 8, 1, 5, 4, 9)
b (6, 0, 11, 7, 3, 2, 10, 8, 1, 5, 4, 9)
e (6, 3, 11, 7, 0, 2, 10, 8, 1, 5, 4, 9)
i (6, 3, 11, 7, 1, 2, 10, 8, 0, 5, 4, 9)
j (6, 3, 11, 7, 1, 2, 10, 8, 5, 0, 4, 9)
g (6, 3, 11, 7, 1, 2, 0, 8, 5, 10, 4, 9)
k (6, 3, 11, 7, 1, 2, 4, 8, 5, 10, 0, 9)
f (6, 3, 11, 7, 1, 0, 4, 8, 5, 10, 2, 9)
c (6, 3, 0, 7, 1, 11, 4, 8, 5, 10, 2, 9)
d (6, 3, 7, 0, 1, 11, 4, 8, 5, 10, 2, 9)
g (6, 3, 7, 4, 1, 11, 0, 8, 5, 10, 2, 9)
l (6, 3, 7, 4, 1, 11, 9, 8, 5, 10, 2, 0)
k (6, 3, 7, 4, 1, 11, 9, 8, 5, 10, 0, 2)
f (6, 3, 7, 4, 1, 0, 9, 8, 5, 10, 11, 2)
g (6, 3, 7, 4, 1, 9, 0, 8, 5, 10, 11, 2)
c (6, 3, 0, 4, 1, 9, 7, 8, 5, 10, 11, 2)
b (6, 0, 3, 4, 1, 9, 7, 8, 5, 10, 11, 2)
e (6, 1, 3, 4, 0, 9, 7, 8, 5, 10, 11, 2)
i (6, 1, 3, 4, 5, 9, 7, 8, 0, 10, 11, 2)
f (6, 1, 3, 4, 5, 0, 7, 8, 9, 10, 11, 2)
a (0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 2)
